date,price,price_pct_change,a_sopr,puell_multiple,exchange_netflow,difficulty_compression_band,mvrv_z_score,nonzero_balance_addresses,%_utxo_in_profit,nvt,nupl,stablecoin_supply,rhodl,cvdd,rpv,balanced_price,investor_capitalization
2018-06-10,6784.03,-0.10323463317911441,0.9463465563232271,0.7748998227055081,4416.402127171903,0.128304179934975,0.567616145398087,22287977.0,0.679370019312172,21.301058096596012,0.221403967507583,,9270.05742543706,2517.6110199249,0.00019270766005,4398.95910719854,82440364101.30965
2018-06-11,6901.13,0.017261126498556267,0.9391655645057231,0.807914852445605,-4546.386466180105,0.13041963999263,0.614330475924982,22304377.0,0.6880992301187221,20.142034806156992,0.23681116683675102,,9118.30734155449,2518.55938914403,0.000165691248155,4386.948310392172,82236634224.33705
2018-06-12,6566.2,-0.048532631612504096,0.963000807189695,0.8371012906573511,2324.4451606379007,0.13255677659259402,0.500033453089838,22295638.0,0.671893701967557,20.143673570176986,0.199602704937228,,8804.71723913692,2518.98759955317,0.00020311436680600002,4379.796241176005,82112616426.60052
2018-06-13,6342.43,-0.0340790716091498,0.9288714291090241,0.786713745939092,4787.148304166607,0.134730493182971,0.42573021459827404,22278315.0,0.6700691004706031,19.243152269617614,0.17322041869109,,8628.65445505238,2521.19671586591,0.00045829180935300003,4362.809606349187,81831789528.43913
2018-06-14,6681.42,0.05344796868077384,0.9722715755641621,0.845182877781491,-1340.7210108168947,0.134455447453266,0.537867954390542,22295710.0,0.68190523549829,19.372655396927613,0.214811961879866,,8406.97864734718,2521.48731134701,0.00045076683135900005,4357.914885713247,81745712686.87433
2018-06-15,6460.85,-0.033012443462617225,0.971790835931815,0.8516715248879211,-2644.4313988927024,0.1342444964183,0.465394197910164,22304686.0,0.6709472810013161,19.477620641087288,0.18876686693518202,,8071.18054666487,2521.74561458732,0.00023585178380700002,4352.715293275632,81654112728.64041
2018-06-16,6538.65,0.01204175921124917,0.980865379055998,0.9121855371806611,-1014.819572274002,0.134125759667586,0.49964214025288406,22340739.0,0.676539079165643,19.30713856074019,0.20022281948175,,7874.58660241439,2521.51072393849,0.00014765765309500002,4350.714220064677,81614019710.93793
2018-06-17,6503.94,-0.005308435227455166,0.977541207961182,0.866886306833467,10004.218090065799,0.13406812510496102,0.485756926545348,22359145.0,0.671719937064375,19.55344058730769,0.195028649714023,,7351.14431514352,2521.55600164389,0.000137697046712,4348.176049004226,81566571524.71835
2018-06-18,6733.38,0.03527707820182857,0.9728423735092481,0.90564261852277,7373.022829482201,0.1339698892052,0.576373491685765,22366331.0,0.6896389751463581,19.64928220321672,0.22359424222974303,,7217.36596510992,2522.07320322099,0.00033965768329500005,4344.081221170025,81495111384.71663
2018-06-19,6759.1,0.003819775506506362,0.985901108877626,0.8787753434719191,-5771.224526178099,0.133309815309129,0.5867870838866991,22320706.0,0.6950199716293181,20.31352926881568,0.22752635498575602,,7092.76840491824,2522.19998187647,0.000325124031934,4341.988858808872,81455428134.0463
2018-06-20,6776.84,0.002624609785326415,0.9783124504061281,0.8713780271091951,1548.3208782561996,0.132652463229921,0.595315660388926,22330122.0,0.6972832487368671,20.26222154174819,0.22913584256956301,,6282.17879819919,2522.65948849595,0.00027580588617900003,4338.929096583595,81401259498.95195
2018-06-21,6737.58,-0.005793260575725601,1.00748080439225,0.9610149661838521,-4287.055513993801,0.132014189824668,0.5771860352421311,22349347.0,0.6889223155499431,20.447287990689475,0.22357108566265202,,6291.86736027238,2526.46765987882,0.0009369433292570001,4339.068463813679,81421366228.57779
2018-06-22,6083.68,-0.09705265095182536,0.9513649483884821,0.8062142876493961,5708.5660014088935,0.13139475887687901,0.33217176924949904,22355244.0,0.661496780876301,19.320239598328886,0.14276171605596202,,6177.47165668463,2526.8744879296,0.00015056734768000002,4329.02330840248,81248084611.81104
2018-06-23,6166.8,0.013662783052363014,0.963463229227912,0.8209678968939881,-1046.5439283727028,0.13079393435366302,0.365582334275709,22380608.0,0.665881205318131,18.700112258265836,0.154656517220878,,6144.45153922052,2527.0151659305,0.00019021400184600002,4324.539927239606,81168587997.53793
2018-06-24,6168.79,0.00032269572549781245,0.9513059450313891,0.8582918119061691,5005.507354220303,0.13028475010495902,0.36104781452108603,22397062.0,0.66759226223616,18.483775861269375,0.15672507606764,,6181.6333001,2528.08089691986,0.00035253238059900003,4318.129935108662,81061635077.45735
2018-06-25,6260.63,0.014887846725208709,0.978007174482802,0.8121801849501381,-1972.9085357869044,0.129793122667095,0.40482295633306997,22385427.0,0.67015809547317,19.127417547938478,0.16821286865779903,,6014.41472830202,2528.48046835316,0.00042472982214700005,4314.772280020312,81002840204.2329
2018-06-26,6096.19,-0.026265727251091442,0.9716584321060131,0.753183070446604,2160.941933009999,0.129326466958884,0.343441920838637,22399468.0,0.657994883049074,19.182907296917985,0.147249629206385,,5866.72135686816,2529.22403137719,0.00028416289719000005,4310.543692293595,80931467386.77458
2018-06-27,6154.48,0.009561709854843725,0.7981252101254651,0.614648493041239,5420.8625951333015,0.128876659791858,0.382713448775549,22399137.0,0.665046278641933,18.932913931970543,0.16319022035132802,,6406.60971358311,2532.63705486406,0.00016017136301300003,4264.67619874599,80164011613.36047
2018-06-28,5903.44,-0.04078979865073895,0.954556563017351,0.7952578712303041,7329.5224507128005,0.128077350322566,0.289531133286661,22390592.0,0.6516893753598371,18.96525680469391,0.127620674577646,,6205.71194466589,2533.81549813077,0.00021593936082800003,4257.411639869439,80043109207.10367
2018-06-29,6220.76,0.05375171086688457,0.96371227965946,0.742175025870997,4447.371396723196,0.12731108897871102,0.41476045251861904,22423925.0,0.67414874447438,18.453424790111182,0.17309042768136,,5946.29828885606,2534.13893666036,0.00020171013587300002,4251.715122886892,79944356059.55048
2018-06-30,6396.98,0.02832772844475584,0.99999707001849,0.7446709478003971,2441.6883422048013,0.12604052936371501,0.48954273359443906,22404240.0,0.67900203531859,19.904246901967106,0.19773177310196402,,5924.86272758263,2534.38718339893,0.000574923865558,4251.954837454959,79946195760.02742
2018-07-01,6388.12,-0.0013850285603518309,0.9215133917000471,0.774252449502117,-469.1158608607002,0.12479138939605201,0.480712205955359,22418470.0,0.67721410225044,19.976759284102265,0.196304888922292,,6563.19978857095,2536.82169444299,0.00026416187638300003,4239.124153598644,79737170975.7886
2018-07-02,6614.92,0.03550340319217549,0.9992604984204171,0.75161500156625,4458.023881593399,0.12489910058499501,0.5682025187124481,22412207.0,0.692526700830098,20.413199948480436,0.22264607144752,,6686.60263721694,2537.8152837226,0.000790872295085,4238.90260746668,79735417087.46129
2018-07-03,6533.56,-0.012299468474297415,0.9919998208081111,0.632665846947232,-6918.612535409404,0.12474573899544202,0.5353691021753341,22392892.0,0.6851837220658611,20.893111440496405,0.216160203934315,,6896.59590925593,2538.79609468765,0.000600390884995,4237.2184868321465,79709014319.33022
2018-07-04,6609.7,0.011653677321398881,1.00408477386313,0.729306848412683,-1411.8037506675973,0.12460029753827201,0.561433528200704,22413455.0,0.692031922140238,20.891256444169624,0.22310527219200502,,6626.03203879553,2540.02782360079,0.000778449981525,4237.660450772465,79720021990.07411
2018-07-05,6643.34,0.005089489689396043,0.9912149172889211,0.751564680396101,675.9345187709987,0.12446259322409702,0.5783312091375451,22434886.0,0.6965142590658581,21.114423837850936,0.22803972205439402,,6558.97230978626,2540.1855919258,0.000343902409471,4236.417343337677,79695529307.71439
2018-07-06,6674.68,0.004717506555437456,0.971518692268006,0.8718454177912671,-4050.1911096619006,0.12441335230297901,0.587280216489459,22513196.0,0.7011957135214371,21.00476715965368,0.23220460462779802,,6801.22587404301,2541.22540815789,0.00034902466172200003,4231.57253910769,79613972667.44267
2018-07-07,6859.53,0.02769421155770746,0.9917045060876181,0.8502362737749081,599.4372699802007,0.12437060145277501,0.66180509707067,22529366.0,0.7198520205700151,21.07790779779639,0.25322966861955104,,6645.12685885738,2541.31643145765,0.00021151595558500003,4230.981417345057,79599693766.2326
2018-07-08,6762.01,-0.014216717471896678,0.9706345655113421,0.8842808532784171,-29452.8348294671,0.12433417197692101,0.6248704947733561,22534334.0,0.7096117320691621,21.769635535152347,0.244275511016518,,6000.32286010261,2542.46138561297,0.00034598301319800005,4226.710800596511,79528240331.08507
2018-07-09,6746.22,-0.0023351045029510464,0.9966621494419681,0.75529615139853,-2437.344551020302,0.124303898815909,0.620192826600511,22542629.0,0.7034337401832961,21.67404014307239,0.24119422105192703,,5931.68822205547,2543.05819897127,0.000448603465068,4226.209582107958,79518886584.66478
2018-07-10,6328.33,-0.061944318447960556,0.9739802983298521,0.796281301444497,4606.506195489601,0.12428331687676501,0.46226333773805,22515282.0,0.6611318344643821,20.87669230945177,0.19245527641392,,5669.99812809786,2543.93400964782,0.000379838834888,4221.950702424792,79446823692.0222
2018-07-11,6393.59,0.010312357288573715,0.966853203619436,0.705137830313598,-3274.7147870681,0.123514051669349,0.48878566332078,22503309.0,0.668022013693771,20.523646316662862,0.20164411559217202,,5663.17002046131,2544.77909867623,0.00019666982783900002,4216.849707638589,79360772607.97845
2018-07-12,6228.81,-0.025772687957782647,0.95560175718499,0.718329017370101,1401.6400018565037,0.12276824754744901,0.40220067204512205,22108833.0,0.662305481524818,20.14737634143766,0.181421876163635,,5508.71416438725,2545.19061748882,0.000116197209332,4210.638806171323,79253179283.67778
2018-07-13,6236.49,0.0012329802963968461,0.9619028622115361,0.7292737889848491,-5529.158293824999,0.12209660547412801,0.430616090046245,21809472.0,0.6626672119045941,20.181566063033014,0.18330944353120102,,5159.40893444794,2546.55608382704,0.00031783851275800004,4204.676729969755,79155478617.84914
2018-07-14,6275.18,0.006203810156033329,0.9811081070610621,0.677571374322112,-4251.016930833499,0.12135504283566301,0.44856825799626904,21514661.0,0.66936671666616,20.237973613814773,0.18827774226826302,,5133.62036529609,2546.38464302772,8.3449577087e-05,4202.982556837435,79121982139.73013
2018-07-15,6359.64,0.013459374870521623,0.995687383665207,0.68550582749454,-2158.4426304260996,0.120442206190199,0.48364525615561305,21476016.0,0.6738214922318431,20.702951424453804,0.19873558378358702,,4958.90670058889,2546.53637565379,0.00020953988554100003,4202.770706181884,79115712860.6357
2018-07-16,6742.49,0.06019994842475351,0.99581224842571,0.6356910014492371,7566.101016366403,0.11908882213264801,0.614331977437168,21481724.0,0.7173642310921251,21.4488382430811,0.24428203773072502,,5078.64298200862,2547.63907789921,0.0007239685907420001,4202.098432370255,79107306266.48466
2018-07-17,7318.74,0.08546545860653865,1.02020931204693,0.8871152108031891,8912.904948741496,0.11695776184095401,0.842705551975499,21462664.0,0.748349495054281,22.713321281290067,0.30320244863462903,,5206.50428959852,2548.29675520314,0.00124198381233,4206.00004505129,79172854880.06558
2018-07-18,7370.78,0.007110513558344689,1.01851627801181,1.04340735451011,6479.564678170202,0.11486455597612501,0.8603256355153621,21432508.0,0.7495728471328851,24.567607477817095,0.30825353953829504,,5511.3384344804,2549.57780650449,0.0015752911538940001,4209.637904754377,79236004420.97708
